Membrane potentials for each step (in ms) [0,10000]
P1(632.5)=0 P2(632.5)=18.1 P115(632.5)=1 P116(632.5)=17
P1(632.6)=0 P2(632.6)=18.1 P115(632.6)=2 P116(632.6)=17
P1(632.7)=0 P2(632.7)=18.2 P115(632.7)=2.2 P116(632.7)=17
P1(632.8)=0 P2(632.8)=18.3 P115(632.8)=2.2 P116(632.8)=17
P1(632.9)=0 P2(632.9)=18.6 P115(632.9)=2.2 P116(632.9)=17
P1(633)=0 P2(633)=18.1 P115(633)=2.2 P116(633)=18
P1(633.1)=0 P2(633.1)=18.1 P115(633.1)=2.3 P116(633.1)=18
P1(633.2)=0 P2(633.2)=18.2 P115(633.2)=2.3 P116(633.2)=18
P1(633.3)=0 P2(633.3)=19.2 P115(633.3)=2.3 P116(633.3)=19
P1(633.4)=0 P2(633.4)=19.2 P115(633.4)=3.3 P116(633.4)=20.1
P1(633.5)=0 P2(633.5)=19.2 P115(633.5)=4.3 P116(633.5)=0
P1(633.6)=0 P2(633.6)=19.7 P115(633.6)=6.5 P116(633.6)=0
P1(633.7)=0 P2(633.7)=20.8 P115(633.7)=6.6 P116(633.7)=0
P1(633.8)=0 P2(633.8)=0 P115(633.8)=6.6 P116(633.8)=0
P1(633.9)=0 P2(633.9)=0 P115(633.9)=8.6 P116(633.9)=0
P1(634)=0 P2(634)=0 P115(634)=8.6 P116(634)=0
P1(634.1)=0 P2(634.1)=0 P115(634.1)=8.6 P116(634.1)=0
P1(634.2)=0 P2(634.2)=0 P115(634.2)=8.6 P116(634.2)=0
P1(634.3)=0 P2(634.3)=0 P115(634.3)=8.1 P116(634.3)=0
P1(634.4)=0 P2(634.4)=0 P115(634.4)=8.1 P116(634.4)=0
P1(634.5)=0 P2(634.5)=0 P115(634.5)=8.1 P116(634.5)=0
P1(634.6)=0 P2(634.6)=0 P115(634.6)=8.2 P116(634.6)=0
P1(634.7)=0 P2(634.7)=0 P115(634.7)=8.4 P116(634.7)=0
P1(634.8)=0 P2(634.8)=0 P115(634.8)=8.5 P116(634.8)=0
P1(634.9)=0 P2(634.9)=0 P115(634.9)=8.6 P116(634.9)=0
P1(635)=0 P2(635)=0 P115(635)=9.6 P116(635)=0
P1(635.1)=0 P2(635.1)=0 P115(635.1)=9.6 P116(635.1)=0
P1(635.2)=0 P2(635.2)=0 P115(635.2)=9.6 P116(635.2)=0
P1(635.3)=0 P2(635.3)=0 P115(635.3)=10.7 P116(635.3)=0
P1(635.4)=0 P2(635.4)=0 P115(635.4)=10.7 P116(635.4)=0
P1(635.5)=0 P2(635.5)=0 P115(635.5)=10.9 P116(635.5)=0
P1(635.6)=0 P2(635.6)=0 P115(635.6)=11.2 P116(635.6)=0
P1(635.7)=0 P2(635.7)=0 P115(635.7)=11.2 P116(635.7)=0
P1(635.8)=0 P2(635.8)=0 P115(635.8)=10.7 P116(635.8)=0
P1(635.9)=0 P2(635.9)=0 P115(635.9)=11.7 P116(635.9)=0
P1(636)=0 P2(636)=0 P115(636)=11.7 P116(636)=0
P1(636.1)=0 P2(636.1)=0 P115(636.1)=11.7 P116(636.1)=0
P1(636.2)=0 P2(636.2)=0 P115(636.2)=11.3 P116(636.2)=0
P1(636.3)=0 P2(636.3)=0 P115(636.3)=11.3 P116(636.3)=0
P1(636.4)=0 P2(636.4)=0 P115(636.4)=13.3 P116(636.4)=0
P1(636.5)=0 P2(636.5)=0 P115(636.5)=13.3 P116(636.5)=0
P1(636.6)=0 P2(636.6)=0 P115(636.6)=13.3 P116(636.6)=0
P1(636.7)=0 P2(636.7)=0 P115(636.7)=13.3 P116(636.7)=0
P1(636.8)=0 P2(636.8)=0 P115(636.8)=13.3 P116(636.8)=0
P1(636.9)=0 P2(636.9)=0 P115(636.9)=13.4 P116(636.9)=0
P1(637)=0 P2(637)=0 P115(637)=13.4 P116(637)=0
P1(637.1)=0 P2(637.1)=0 P115(637.1)=13.4 P116(637.1)=0
P1(637.2)=0 P2(637.2)=0 P115(637.2)=13.4 P116(637.2)=0
P1(637.3)=0 P2(637.3)=0 P115(637.3)=13.5 P116(637.3)=0
P1(637.4)=0 P2(637.4)=0 P115(637.4)=13.6 P116(637.4)=0
P1(637.5)=0 P2(637.5)=0 P115(637.5)=13.7 P116(637.5)=0
P1(637.6)=0 P2(637.6)=0 P115(637.6)=13.8 P116(637.6)=0
P1(637.7)=0 P2(637.7)=0 P115(637.7)=13.8 P116(637.7)=0
P1(637.8)=0 P2(637.8)=0 P115(637.8)=13.9 P116(637.8)=0
P1(637.9)=0 P2(637.9)=0 P115(637.9)=13.9 P116(637.9)=0
P1(638)=0 P2(638)=0 P115(638)=14 P116(638)=0
P1(638.1)=0 P2(638.1)=0 P115(638.1)=14 P116(638.1)=0
P1(638.2)=0 P2(638.2)=0 P115(638.2)=15 P116(638.2)=0
P1(638.3)=0 P2(638.3)=0 P115(638.3)=15 P116(638.3)=0
P1(638.4)=0 P2(638.4)=0 P115(638.4)=15 P116(638.4)=0
P1(638.5)=0 P2(638.5)=0 P115(638.5)=15.1 P116(638.5)=0
P1(638.6)=0 P2(638.6)=0 P115(638.6)=15.1 P116(638.6)=0
P1(638.7)=0 P2(638.7)=0 P115(638.7)=15.1 P116(638.7)=0
P1(638.8)=0 P2(638.8)=0 P115(638.8)=16.1 P116(638.8)=0
P1(638.9)=0 P2(638.9)=0 P115(638.9)=16.1 P116(638.9)=0
P1(639)=0 P2(639)=0 P115(639)=16.2 P116(639)=0
P1(639.1)=0 P2(639.1)=0 P115(639.1)=16.3 P116(639.1)=0
P1(639.2)=0 P2(639.2)=0 P115(639.2)=16.3 P116(639.2)=0
P1(639.3)=0 P2(639.3)=0 P115(639.3)=16.3 P116(639.3)=0
P1(639.4)=0 P2(639.4)=0 P115(639.4)=16.3 P116(639.4)=0
P1(639.5)=0 P2(639.5)=0 P115(639.5)=16.3 P116(639.5)=0
P1(639.6)=0 P2(639.6)=0 P115(639.6)=16.3 P116(639.6)=0
P1(639.7)=0 P2(639.7)=0 P115(639.7)=16.3 P116(639.7)=0
P1(639.8)=0 P2(639.8)=0 P115(639.8)=17.3 P116(639.8)=0
P1(639.9)=0 P2(639.9)=0 P115(639.9)=17.3 P116(639.9)=0
P1(640)=0 P2(640)=0 P115(640)=19.3 P116(640)=0
P1(640.1)=0 P2(640.1)=0 P115(640.1)=19.3 P116(640.1)=0
P1(640.2)=0 P2(640.2)=0 P115(640.2)=19.3 P116(640.2)=0
P1(640.3)=0 P2(640.3)=0 P115(640.3)=19.4 P116(640.3)=0
P1(640.4)=0 P2(640.4)=0 P115(640.4)=19.4 P116(640.4)=0
P1(640.5)=0 P2(640.5)=0 P115(640.5)=20.6 P116(640.5)=0
P1(640.6)=0 P2(640.6)=0 P115(640.6)=0 P116(640.6)=0
P1(640.7)=0 P2(640.7)=0 P115(640.7)=0 P116(640.7)=0
P1(640.8)=0 P2(640.8)=0 P115(640.8)=0 P116(640.8)=0
P1(640.9)=0 P2(640.9)=0 P115(640.9)=0 P116(640.9)=0
P1(641)=0 P2(641)=0 P115(641)=0 P116(641)=0
P1(641.1)=0 P2(641.1)=0 P115(641.1)=0 P116(641.1)=0
P1(641.2)=0 P2(641.2)=0 P115(641.2)=0 P116(641.2)=0
P1(641.3)=0 P2(641.3)=0 P115(641.3)=0 P116(641.3)=0
P1(641.4)=0 P2(641.4)=0 P115(641.4)=0 P116(641.4)=0
P1(641.5)=0 P2(641.5)=0 P115(641.5)=0 P116(641.5)=0
P1(641.6)=0 P2(641.6)=0 P115(641.6)=0 P116(641.6)=0
P1(641.7)=0 P2(641.7)=0 P115(641.7)=0 P116(641.7)=0
P1(641.8)=0 P2(641.8)=0 P115(641.8)=0 P116(641.8)=0
P1(641.9)=0 P2(641.9)=0 P115(641.9)=0 P116(641.9)=0
P1(642)=0 P2(642)=0 P115(642)=0 P116(642)=0
P1(642.1)=0 P2(642.1)=0 P115(642.1)=0 P116(642.1)=0
P1(642.2)=0 P2(642.2)=0 P115(642.2)=0 P116(642.2)=0
P1(642.3)=0 P2(642.3)=0 P115(642.3)=0 P116(642.3)=0
P1(642.4)=0 P2(642.4)=0 P115(642.4)=0 P116(642.4)=0
P1(642.5)=0 P2(642.5)=0 P115(642.5)=0 P116(642.5)=0
P1(642.6)=0 P2(642.6)=0 P115(642.6)=0 P116(642.6)=0
P1(642.7)=0 P2(642.7)=0 P115(642.7)=0 P116(642.7)=0
P1(642.8)=0 P2(642.8)=0 P115(642.8)=0 P116(642.8)=0
P1(642.9)=0 P2(642.9)=0 P115(642.9)=0 P116(642.9)=0
P1(643)=0 P2(643)=0 P115(643)=0 P116(643)=0
P1(643.1)=0 P2(643.1)=0 P115(643.1)=0 P116(643.1)=0
P1(643.2)=0 P2(643.2)=0 P115(643.2)=0 P116(643.2)=0
P1(643.3)=0 P2(643.3)=0 P115(643.3)=0 P116(643.3)=0
P1(643.4)=0 P2(643.4)=0 P115(643.4)=0 P116(643.4)=0
P1(643.5)=0 P2(643.5)=0 P115(643.5)=0 P116(643.5)=0
P1(643.6)=0 P2(643.6)=0 P115(643.6)=0 P116(643.6)=0
P1(643.7)=0 P2(643.7)=0 P115(643.7)=0 P116(643.7)=0
P1(643.8)=0 P2(643.8)=0 P115(643.8)=0 P116(643.8)=0
P1(643.9)=0 P2(643.9)=0 P115(643.9)=0 P116(643.9)=0
P1(644)=0 P2(644)=0 P115(644)=0 P116(644)=0
P1(644.1)=0 P2(644.1)=0 P115(644.1)=0 P116(644.1)=0
P1(644.2)=0 P2(644.2)=0 P115(644.2)=0 P116(644.2)=0
P1(644.3)=0 P2(644.3)=0 P115(644.3)=0 P116(644.3)=0
P1(644.4)=0 P2(644.4)=0 P115(644.4)=0 P116(644.4)=0
P1(644.5)=0 P2(644.5)=0 P115(644.5)=0 P116(644.5)=0
P1(644.6)=0 P2(644.6)=0 P115(644.6)=0 P116(644.6)=0
P1(644.7)=0 P2(644.7)=0 P115(644.7)=0 P116(644.7)=0
P1(644.8)=0 P2(644.8)=0 P115(644.8)=0 P116(644.8)=0
P1(644.9)=0 P2(644.9)=0 P115(644.9)=0 P116(644.9)=0
P1(645)=0 P2(645)=0 P115(645)=0 P116(645)=0
P1(645.1)=0 P2(645.1)=0 P115(645.1)=0 P116(645.1)=0
P1(645.2)=0 P2(645.2)=0 P115(645.2)=0 P116(645.2)=0
P1(645.3)=0 P2(645.3)=0 P115(645.3)=0 P116(645.3)=0
P1(645.4)=0 P2(645.4)=0 P115(645.4)=0 P116(645.4)=0
P1(645.5)=0 P2(645.5)=0 P115(645.5)=0 P116(645.5)=0
P1(645.6)=0 P2(645.6)=0 P115(645.6)=0 P116(645.6)=0
P1(645.7)=0 P2(645.7)=0 P115(645.7)=0 P116(645.7)=0
P1(645.8)=0 P2(645.8)=0 P115(645.8)=0 P116(645.8)=0
P1(645.9)=0 P2(645.9)=0 P115(645.9)=0 P116(645.9)=0
P1(646)=0 P2(646)=0 P115(646)=0 P116(646)=0
P1(646.1)=0 P2(646.1)=0 P115(646.1)=0 P116(646.1)=0
P1(646.2)=0 P2(646.2)=0 P115(646.2)=0 P116(646.2)=0
P1(646.3)=0 P2(646.3)=0 P115(646.3)=0 P116(646.3)=0
P1(646.4)=0 P2(646.4)=0 P115(646.4)=0 P116(646.4)=0
P1(646.5)=0 P2(646.5)=0 P115(646.5)=0 P116(646.5)=0
P1(646.6)=0 P2(646.6)=0 P115(646.6)=0 P116(646.6)=0
P1(646.7)=0 P2(646.7)=0 P115(646.7)=0 P116(646.7)=0
P1(646.8)=0 P2(646.8)=0 P115(646.8)=0 P116(646.8)=0
P1(646.9)=0 P2(646.9)=0 P115(646.9)=0 P116(646.9)=0
P1(647)=0 P2(647)=0 P115(647)=0 P116(647)=0
P1(647.1)=0 P2(647.1)=0 P115(647.1)=0 P116(647.1)=0
P1(647.2)=0 P2(647.2)=0 P115(647.2)=0 P116(647.2)=0
P1(647.3)=0 P2(647.3)=0 P115(647.3)=0 P116(647.3)=0
P1(647.4)=0 P2(647.4)=0 P115(647.4)=0 P116(647.4)=0
P1(647.5)=0 P2(647.5)=0 P115(647.5)=0 P116(647.5)=0
P1(647.6)=0 P2(647.6)=0 P115(647.6)=0 P116(647.6)=0
P1(647.7)=0 P2(647.7)=0 P115(647.7)=0 P116(647.7)=0
P1(647.8)=0 P2(647.8)=0 P115(647.8)=0 P116(647.8)=0
P1(647.9)=0 P2(647.9)=0 P115(647.9)=0 P116(647.9)=0
P1(648)=0 P2(648)=0 P115(648)=0 P116(648)=0
P1(648.1)=0 P2(648.1)=0 P115(648.1)=0 P116(648.1)=0
P1(648.2)=0 P2(648.2)=0 P115(648.2)=0 P116(648.2)=0
P1(648.3)=0 P2(648.3)=0 P115(648.3)=0 P116(648.3)=0
P1(648.4)=0 P2(648.4)=0 P115(648.4)=0 P116(648.4)=0
P1(648.5)=0 P2(648.5)=0 P115(648.5)=0 P116(648.5)=0
P1(648.6)=0 P2(648.6)=0 P115(648.6)=0 P116(648.6)=0
P1(648.7)=0 P2(648.7)=0 P115(648.7)=0 P116(648.7)=0
P1(648.8)=0 P2(648.8)=0 P115(648.8)=0 P116(648.8)=0
P1(648.9)=0 P2(648.9)=0 P115(648.9)=0 P116(648.9)=0
P1(649)=0 P2(649)=0 P115(649)=0 P116(649)=0
P1(649.1)=0 P2(649.1)=0 P115(649.1)=0 P116(649.1)=0
P1(649.2)=0 P2(649.2)=0 P115(649.2)=0 P116(649.2)=0
P1(649.3)=0 P2(649.3)=0 P115(649.3)=0 P116(649.3)=0
P1(649.4)=0 P2(649.4)=0 P115(649.4)=0 P116(649.4)=0
P1(649.5)=0 P2(649.5)=0 P115(649.5)=0 P116(649.5)=0
P1(649.6)=0 P2(649.6)=0 P115(649.6)=0 P116(649.6)=0
P1(649.7)=0 P2(649.7)=0 P115(649.7)=0 P116(649.7)=0
P1(649.8)=0 P2(649.8)=0 P115(649.8)=0 P116(649.8)=0
P1(649.9)=0 P2(649.9)=0 P115(649.9)=0 P116(649.9)=0
P1(650)=0 P2(650)=0 P115(650)=0 P116(650)=0
P1(650.1)=0 P2(650.1)=0 P115(650.1)=0 P116(650.1)=0
P1(650.2)=0 P2(650.2)=0 P115(650.2)=0 P116(650.2)=0
P1(650.3)=0 P2(650.3)=0 P115(650.3)=0 P116(650.3)=0
P1(650.4)=0 P2(650.4)=0 P115(650.4)=0 P116(650.4)=0
P1(650.5)=0 P2(650.5)=0 P115(650.5)=0 P116(650.5)=0
P1(650.6)=0 P2(650.6)=0 P115(650.6)=0 P116(650.6)=0
P1(650.7)=0 P2(650.7)=0 P115(650.7)=0 P116(650.7)=0
P1(650.8)=0 P2(650.8)=0 P115(650.8)=0 P116(650.8)=0
P1(650.9)=0 P2(650.9)=0 P115(650.9)=0 P116(650.9)=0
P1(651)=0 P2(651)=0 P115(651)=0 P116(651)=0
P1(651.1)=0 P2(651.1)=0 P115(651.1)=0 P116(651.1)=0
P1(651.2)=0 P2(651.2)=0 P115(651.2)=0 P116(651.2)=0
P1(651.3)=0 P2(651.3)=0 P115(651.3)=0 P116(651.3)=0
P1(651.4)=0 P2(651.4)=0 P115(651.4)=0 P116(651.4)=0
P1(651.5)=0 P2(651.5)=0 P115(651.5)=0 P116(651.5)=0
P1(651.6)=0 P2(651.6)=0 P115(651.6)=0 P116(651.6)=0
P1(651.7)=0 P2(651.7)=0 P115(651.7)=0 P116(651.7)=0
P1(651.8)=0.1 P2(651.8)=0 P115(651.8)=0 P116(651.8)=0
P1(651.9)=0.1 P2(651.9)=0 P115(651.9)=0 P116(651.9)=0
P1(652)=0.1 P2(652)=0 P115(652)=0 P116(652)=0
P1(652.1)=0.1 P2(652.1)=0 P115(652.1)=0 P116(652.1)=0
P1(652.2)=1.1 P2(652.2)=0 P115(652.2)=0 P116(652.2)=0
P1(652.3)=1.1 P2(652.3)=0 P115(652.3)=0 P116(652.3)=0
P1(652.4)=1.1 P2(652.4)=0 P115(652.4)=0 P116(652.4)=0
P1(652.5)=1.1 P2(652.5)=0 P115(652.5)=0 P116(652.5)=0
P1(652.6)=1.1 P2(652.6)=0 P115(652.6)=0 P116(652.6)=0
P1(652.7)=1.2 P2(652.7)=0 P115(652.7)=0 P116(652.7)=0
P1(652.8)=2.3 P2(652.8)=0 P115(652.8)=0 P116(652.8)=0
P1(652.9)=2.3 P2(652.9)=0 P115(652.9)=0 P116(652.9)=0
P1(653)=3.4 P2(653)=0 P115(653)=0 P116(653)=0
P1(653.1)=3.5 P2(653.1)=0 P115(653.1)=0 P116(653.1)=0
P1(653.2)=3.5 P2(653.2)=0 P115(653.2)=0 P116(653.2)=0
P1(653.3)=3.5 P2(653.3)=0 P115(653.3)=0 P116(653.3)=0
P1(653.4)=3.7 P2(653.4)=0 P115(653.4)=0 P116(653.4)=0
P1(653.5)=3.8 P2(653.5)=0 P115(653.5)=0 P116(653.5)=0
P1(653.6)=3.8 P2(653.6)=0 P115(653.6)=0 P116(653.6)=0
P1(653.7)=3.8 P2(653.7)=0 P115(653.7)=0 P116(653.7)=1
P1(653.8)=3.9 P2(653.8)=0 P115(653.8)=0 P116(653.8)=2
P1(653.9)=4 P2(653.9)=0.1 P115(653.9)=0 P116(653.9)=2
P1(654)=4 P2(654)=1.1 P115(654)=0 P116(654)=2
P1(654.1)=5 P2(654.1)=1.1 P115(654.1)=0 P116(654.1)=2
P1(654.2)=4.5 P2(654.2)=1.1 P115(654.2)=0 P116(654.2)=2.2
P1(654.3)=4.6 P2(654.3)=2.1 P115(654.3)=0 P116(654.3)=2.2
P1(654.4)=5.2 P2(654.4)=4.1 P115(654.4)=0 P116(654.4)=2.3
P1(654.5)=5.3 P2(654.5)=4.2 P115(654.5)=0 P116(654.5)=2.3
P1(654.6)=5.3 P2(654.6)=4.2 P115(654.6)=0 P116(654.6)=3.3
P1(654.7)=5.3 P2(654.7)=5.2 P115(654.7)=0 P116(654.7)=3.3
P1(654.8)=5.3 P2(654.8)=5.2 P115(654.8)=0 P116(654.8)=4.3
P1(654.9)=5.4 P2(654.9)=5.2 P115(654.9)=0 P116(654.9)=4.3
P1(655)=5.4 P2(655)=5.2 P115(655)=0 P116(655)=3.3
P1(655.1)=5.4 P2(655.1)=5.2 P115(655.1)=0 P116(655.1)=3.3
P1(655.2)=5 P2(655.2)=5.3 P115(655.2)=0 P116(655.2)=3.3
P1(655.3)=4.6 P2(655.3)=5.4 P115(655.3)=0 P116(655.3)=3.3
P1(655.4)=4.6 P2(655.4)=5.4 P115(655.4)=0 P116(655.4)=2.8
P1(655.5)=4.1 P2(655.5)=5.4 P115(655.5)=0 P116(655.5)=2.9
P1(655.6)=4.1 P2(655.6)=5.4 P115(655.6)=0 P116(655.6)=2.9
P1(655.7)=4.1 P2(655.7)=5.4 P115(655.7)=0 P116(655.7)=2.9
P1(655.8)=4.1 P2(655.8)=6.4 P115(655.8)=0 P116(655.8)=3
P1(655.9)=4.2 P2(655.9)=6.4 P115(655.9)=0 P116(655.9)=3
P1(656)=4.3 P2(656)=6.5 P115(656)=0 P116(656)=3
P1(656.1)=4.3 P2(656.1)=8.5 P115(656.1)=0 P116(656.1)=2.5
P1(656.2)=4.3 P2(656.2)=9.6 P115(656.2)=0 P116(656.2)=2.5
P1(656.3)=5.3 P2(656.3)=9.6 P115(656.3)=0 P116(656.3)=2.5
P1(656.4)=6.3 P2(656.4)=9.6 P115(656.4)=0 P116(656.4)=2.5
P1(656.5)=6.4 P2(656.5)=9.6 P115(656.5)=0 P116(656.5)=2.5
P1(656.6)=6.4 P2(656.6)=9.6 P115(656.6)=0 P116(656.6)=2.5
P1(656.7)=6.4 P2(656.7)=9.6 P115(656.7)=0 P116(656.7)=2.5
P1(656.8)=6.4 P2(656.8)=9.7 P115(656.8)=0 P116(656.8)=2.6
P1(656.9)=6.4 P2(656.9)=10.7 P115(656.9)=0 P116(656.9)=3.6
P1(657)=6.4 P2(657)=10.7 P115(657)=0 P116(657)=3.6
P1(657.1)=6.4 P2(657.1)=10.8 P115(657.1)=0 P116(657.1)=3.6
P1(657.2)=6.4 P2(657.2)=11.8 P115(657.2)=0 P116(657.2)=4.6
P1(657.3)=6.4 P2(657.3)=11.8 P115(657.3)=0 P116(657.3)=4.6
P1(657.4)=6.5 P2(657.4)=11.8 P115(657.4)=0 P116(657.4)=4.6
P1(657.5)=6.5 P2(657.5)=11.8 P115(657.5)=0 P116(657.5)=4.6
P1(657.6)=6.5 P2(657.6)=11.8 P115(657.6)=0 P116(657.6)=5.6
P1(657.7)=6.6 P2(657.7)=11.8 P115(657.7)=0 P116(657.7)=5.6
P1(657.8)=6.6 P2(657.8)=11.8 P115(657.8)=0 P116(657.8)=5.6
P1(657.9)=7.6 P2(657.9)=11.8 P115(657.9)=0 P116(657.9)=6.6
P1(658)=7.7 P2(658)=11.9 P115(658)=0 P116(658)=6.6
P1(658.1)=7.7 P2(658.1)=11.4 P115(658.1)=0 P116(658.1)=6.8
P1(658.2)=7.7 P2(658.2)=11.4 P115(658.2)=0 P116(658.2)=6.8
P1(658.3)=7.3 P2(658.3)=11.4 P115(658.3)=0 P116(658.3)=6.3
P1(658.4)=7.3 P2(658.4)=11.4 P115(658.4)=0 P116(658.4)=6.3
P1(658.5)=7.3 P2(658.5)=11.4 P115(658.5)=0 P116(658.5)=6.3
P1(658.6)=8.3 P2(658.6)=11.4 P115(658.6)=0 P116(658.6)=6.3
P1(658.7)=8.3 P2(658.7)=11.9 P115(658.7)=0 P116(658.7)=7.3
P1(658.8)=8.4 P2(658.8)=12 P115(658.8)=0 P116(658.8)=7.4
P1(658.9)=9.4 P2(658.9)=13 P115(658.9)=0 P116(658.9)=7.4
P1(659)=9.4 P2(659)=13 P115(659)=0 P116(659)=7.5
P1(659.1)=9 P2(659.1)=12.6 P115(659.1)=0 P116(659.1)=7.5
P1(659.2)=9.2 P2(659.2)=13.6 P115(659.2)=0 P116(659.2)=8.5
P1(659.3)=9.3 P2(659.3)=13.9 P115(659.3)=0 P116(659.3)=8.5
P1(659.4)=9.3 P2(659.4)=13.9 P115(659.4)=0 P116(659.4)=8.5
P1(659.5)=9.3 P2(659.5)=14.9 P115(659.5)=0 P116(659.5)=8.5
P1(659.6)=9.3 P2(659.6)=15.9 P115(659.6)=0 P116(659.6)=8.5
P1(659.7)=9.3 P2(659.7)=15.9 P115(659.7)=0 P116(659.7)=8.6
P1(659.8)=9.4 P2(659.8)=17 P115(659.8)=0 P116(659.8)=8.6
P1(659.9)=9.6 P2(659.9)=17.1 P115(659.9)=0 P116(659.9)=9.6
P1(660)=12.6 P2(660)=18.2 P115(660)=0 P116(660)=9.6
P1(660.1)=12.6 P2(660.1)=18.2 P115(660.1)=0 P116(660.1)=9.7
P1(660.2)=12.6 P2(660.2)=17.7 P115(660.2)=0 P116(660.2)=9.7
P1(660.3)=13.6 P2(660.3)=17.7 P115(660.3)=0 P116(660.3)=9.8
P1(660.4)=13.7 P2(660.4)=17.7 P115(660.4)=0 P116(660.4)=9.9
P1(660.5)=13.7 P2(660.5)=17.8 P115(660.5)=0 P116(660.5)=10.9
P1(660.6)=13.7 P2(660.6)=19.8 P115(660.6)=0 P116(660.6)=11
P1(660.7)=13.7 P2(660.7)=19.8 P115(660.7)=0 P116(660.7)=10.5
P1(660.8)=13.7 P2(660.8)=20.8 P115(660.8)=1.1 P116(660.8)=10.6
P1(660.9)=13.8 P2(660.9)=0 P115(660.9)=3.2 P116(660.9)=11.6
P1(661)=14 P2(661)=0 P115(661)=4.2 P116(661)=12.7
P1(661.1)=14.1 P2(661.1)=0 P115(661.1)=4.2 P116(661.1)=12.7
P1(661.2)=14.1 P2(661.2)=0 P115(661.2)=3.7 P116(661.2)=13.7
P1(661.3)=14.1 P2(661.3)=0 P115(661.3)=3.7 P116(661.3)=13.7
P1(661.4)=14.1 P2(661.4)=0 P115(661.4)=3.7 P116(661.4)=14.7
P1(661.5)=14.1 P2(661.5)=0 P115(661.5)=3.7 P116(661.5)=15.2
P1(661.6)=14.2 P2(661.6)=0 P115(661.6)=4.8 P116(661.6)=15.4
P1(661.7)=15.2 P2(661.7)=0 P115(661.7)=4.9 P116(661.7)=15.4
P1(661.8)=15.2 P2(661.8)=0 P115(661.8)=5 P116(661.8)=15.4
P1(661.9)=16.2 P2(661.9)=0 P115(661.9)=5 P116(661.9)=15.4
P1(662)=17.2 P2(662)=0 P115(662)=5.2 P116(662)=15.4
P1(662.1)=17.2 P2(662.1)=0 P115(662.1)=4.7 P116(662.1)=15.4
P1(662.2)=18.3 P2(662.2)=0 P115(662.2)=4.7 P116(662.2)=15.5
P1(662.3)=17.8 P2(662.3)=0 P115(662.3)=4.2 P116(662.3)=16.6
P1(662.4)=17.8 P2(662.4)=0 P115(662.4)=4.2 P116(662.4)=16.7
P1(662.5)=17.8 P2(662.5)=0 P115(662.5)=5.2 P116(662.5)=16.7
P1(662.6)=17.8 P2(662.6)=0 P115(662.6)=7.3 P116(662.6)=16.7
P1(662.7)=17.8 P2(662.7)=0 P115(662.7)=7.5 P116(662.7)=16.7
P1(662.8)=17.8 P2(662.8)=0 P115(662.8)=8.7 P116(662.8)=16.8
P1(662.9)=17.8 P2(662.9)=0 P115(662.9)=8.7 P116(662.9)=16.8
P1(663)=17.8 P2(663)=0 P115(663)=8.7 P116(663)=16.9
P1(663.1)=18.8 P2(663.1)=0 P115(663.1)=8.8 P116(663.1)=16.9
P1(663.2)=18.8 P2(663.2)=0 P115(663.2)=8.8 P116(663.2)=15.9
P1(663.3)=19.8 P2(663.3)=0 P115(663.3)=8.8 P116(663.3)=17
P1(663.4)=19.4 P2(663.4)=0 P115(663.4)=8.8 P116(663.4)=17
P1(663.5)=20.4 P2(663.5)=0 P115(663.5)=8.8 P116(663.5)=17.3
P1(663.6)=0 P2(663.6)=0 P115(663.6)=8.8 P116(663.6)=18.4
P1(663.7)=0 P2(663.7)=0 P115(663.7)=8.8 P116(663.7)=18.4
P1(663.8)=0 P2(663.8)=0 P115(663.8)=8.8 P116(663.8)=18.4
P1(663.9)=0 P2(663.9)=0 P115(663.9)=8.8 P116(663.9)=18.4
P1(664)=0 P2(664)=0 P115(664)=8.8 P116(664)=18.4
P1(664.1)=0 P2(664.1)=0 P115(664.1)=8.8 P116(664.1)=18.4
P1(664.2)=0 P2(664.2)=0 P115(664.2)=8.8 P116(664.2)=18.4
P1(664.3)=0 P2(664.3)=0 P115(664.3)=8.9 P116(664.3)=18.5
P1(664.4)=0 P2(664.4)=0 P115(664.4)=8.9 P116(664.4)=18.6
P1(664.5)=0 P2(664.5)=0 P115(664.5)=8.4 P116(664.5)=18.6
P1(664.6)=0 P2(664.6)=0 P115(664.6)=8.5 P116(664.6)=18.6
P1(664.7)=0 P2(664.7)=0 P115(664.7)=8 P116(664.7)=18.6
P1(664.8)=0 P2(664.8)=0 P115(664.8)=8 P116(664.8)=19.6
P1(664.9)=0 P2(664.9)=0 P115(664.9)=8 P116(664.9)=19.6
P1(665)=0 P2(665)=0 P115(665)=8 P116(665)=20.7
P1(665.1)=0 P2(665.1)=0 P115(665.1)=8 P116(665.1)=0
P1(665.2)=0 P2(665.2)=0 P115(665.2)=8 P116(665.2)=0
P1(665.3)=0 P2(665.3)=0 P115(665.3)=8.2 P116(665.3)=0
P1(665.4)=0 P2(665.4)=0 P115(665.4)=8.3 P116(665.4)=0
P1(665.5)=0 P2(665.5)=0 P115(665.5)=8.3 P116(665.5)=0
P1(665.6)=0 P2(665.6)=0 P115(665.6)=8.3 P116(665.6)=0
P1(665.7)=0 P2(665.7)=0 P115(665.7)=9.3 P116(665.7)=0
P1(665.8)=0 P2(665.8)=0 P115(665.8)=9.4 P116(665.8)=0
P1(665.9)=0 P2(665.9)=0 P115(665.9)=9.5 P116(665.9)=0
