Membrane potentials for each step (in ms) [0,10000]
P1(30.7)=5 P2(30.7)=6 P115(30.7)=5 P116(30.7)=0
P1(30.8)=5 P2(30.8)=6 P115(30.8)=5 P116(30.8)=0
P1(30.9)=5 P2(30.9)=7 P115(30.9)=5 P116(30.9)=0
P1(31)=5 P2(31)=7 P115(31)=5 P116(31)=0
P1(31.1)=6 P2(31.1)=7 P115(31.1)=5 P116(31.1)=0
P1(31.2)=6 P2(31.2)=7 P115(31.2)=6 P116(31.2)=0
P1(31.3)=6 P2(31.3)=7 P115(31.3)=6 P116(31.3)=0
P1(31.4)=7 P2(31.4)=7 P115(31.4)=7 P116(31.4)=0
P1(31.5)=7 P2(31.5)=7 P115(31.5)=7 P116(31.5)=0
P1(31.6)=7 P2(31.6)=7 P115(31.6)=7 P116(31.6)=0
P1(31.7)=7 P2(31.7)=7 P115(31.7)=7 P116(31.7)=0
P1(31.8)=8 P2(31.8)=8 P115(31.8)=7 P116(31.8)=0
P1(31.9)=8 P2(31.9)=8 P115(31.9)=7 P116(31.9)=0
P1(32)=8 P2(32)=9 P115(32)=8 P116(32)=1
P1(32.1)=9 P2(32.1)=9 P115(32.1)=9 P116(32.1)=1
P1(32.2)=9 P2(32.2)=9 P115(32.2)=9 P116(32.2)=1
P1(32.3)=9 P2(32.3)=9 P115(32.3)=9 P116(32.3)=1
P1(32.4)=9 P2(32.4)=9 P115(32.4)=9 P116(32.4)=1
P1(32.5)=10 P2(32.5)=9 P115(32.5)=9 P116(32.5)=1
P1(32.6)=10 P2(32.6)=9 P115(32.6)=10 P116(32.6)=1
P1(32.7)=10 P2(32.7)=9 P115(32.7)=10 P116(32.7)=1
P1(32.8)=10 P2(32.8)=9 P115(32.8)=10 P116(32.8)=1
P1(32.9)=10 P2(32.9)=9 P115(32.9)=10 P116(32.9)=1
P1(33)=10 P2(33)=9 P115(33)=10 P116(33)=1
P1(33.1)=10 P2(33.1)=9 P115(33.1)=10 P116(33.1)=2
P1(33.2)=10 P2(33.2)=9 P115(33.2)=10 P116(33.2)=2
P1(33.3)=10 P2(33.3)=9 P115(33.3)=10 P116(33.3)=2
P1(33.4)=10.1 P2(33.4)=9 P115(33.4)=10 P116(33.4)=3
P1(33.5)=10.1 P2(33.5)=10 P115(33.5)=10 P116(33.5)=3
P1(33.6)=10.1 P2(33.6)=10 P115(33.6)=10 P116(33.6)=3
P1(33.7)=12.1 P2(33.7)=11 P115(33.7)=10 P116(33.7)=3
P1(33.8)=12.1 P2(33.8)=11 P115(33.8)=11 P116(33.8)=3
P1(33.9)=12.1 P2(33.9)=11 P115(33.9)=11 P116(33.9)=3
P1(34)=12.1 P2(34)=11 P115(34)=11 P116(34)=4
P1(34.1)=13.1 P2(34.1)=11 P115(34.1)=11 P116(34.1)=4.1
P1(34.2)=13.1 P2(34.2)=11 P115(34.2)=11 P116(34.2)=4.1
P1(34.3)=14.1 P2(34.3)=11 P115(34.3)=11 P116(34.3)=4.1
P1(34.4)=15.1 P2(34.4)=11 P115(34.4)=11 P116(34.4)=4.1
P1(34.5)=15.1 P2(34.5)=11 P115(34.5)=11.1 P116(34.5)=5.1
P1(34.6)=15.1 P2(34.6)=11 P115(34.6)=11.1 P116(34.6)=6.1
P1(34.7)=15.1 P2(34.7)=12 P115(34.7)=11.1 P116(34.7)=6.1
